image,pattern,width,height,pixels,filter,filter_width,filter_height,version,repeat,time_ms,verified
checker_1024,1,1024,1024,1048576,emboss_3x3,3,3,gpu_constant,2,0.350993,1
checker_1024,1,1024,1024,1048576,emboss_3x3,3,3,gpu_tiled_constant,2,0.339215,1
checker_1024,1,1024,1024,1048576,emboss_3x3,3,3,cpu_single,3,5.586557,1
checker_1024,1,1024,1024,1048576,emboss_3x3,3,3,gpu_global,3,0.376463,1
checker_1024,1,1024,1024,1048576,emboss_3x3,3,3,gpu_tiled,3,0.339837,1
checker_1024,1,1024,1024,1048576,emboss_3x3,3,3,gpu_constant,3,0.338545,1
checker_1024,1,1024,1024,1048576,emboss_3x3,3,3,gpu_tiled_constant,3,0.339086,1
checker_1024,1,1024,1024,1048576,emboss_3x3,3,3,cpu_single,4,5.564615,1
checker_1024,1,1024,1024,1048576,emboss_3x3,3,3,gpu_global,4,0.344014,1
checker_1024,1,1024,1024,1048576,emboss_3x3,3,3,gpu_tiled,4,0.337834,1
checker_1024,1,1024,1024,1048576,emboss_3x3,3,3,gpu_constant,4,0.337683,1
checker_1024,1,1024,1024,1048576,emboss_3x3,3,3,gpu_tiled_constant,4,0.336292,1
checker_1024,1,1024,1024,1048576,emboss_3x3,3,3,cpu_single,5,5.544875,1
checker_1024,1,1024,1024,1048576,emboss_3x3,3,3,gpu_global,5,0.344024,1
checker_1024,1,1024,1024,1048576,emboss_3x3,3,3,gpu_tiled,5,0.337534,1
checker_1024,1,1024,1024,1048576,emboss_3x3,3,3,gpu_constant,5,0.337233,1
checker_1024,1,1024,1024,1048576,emboss_3x3,3,3,gpu_tiled_constant,5,0.336271,1
checker_1024,1,1024,1024,1048576,emboss_3x3,3,3,cpu_single,6,5.607520,1
checker_1024,1,1024,1024,1048576,emboss_3x3,3,3,gpu_global,6,0.352396,1
checker_1024,1,1024,1024,1048576,emboss_3x3,3,3,gpu_tiled,6,0.338235,1
checker_1024,1,1024,1024,1048576,emboss_3x3,3,3,gpu_constant,6,0.337543,1
checker_1024,1,1024,1024,1048576,emboss_3x3,3,3,gpu_tiled_constant,6,0.336833,1
checker_1024,1,1024,1024,1048576,emboss_3x3,3,3,cpu_single,7,5.597494,1
checker_1024,1,1024,1024,1048576,emboss_3x3,3,3,gpu_global,7,0.345777,1
checker_1024,1,1024,1024,1048576,emboss_3x3,3,3,gpu_tiled,7,0.341029,1
checker_1024,1,1024,1024,1048576,emboss_3x3,3,3,gpu_constant,7,0.337833,1
checker_1024,1,1024,1024,1048576,emboss_3x3,3,3,gpu_tiled_constant,7,0.336732,1
checker_1024,1,1024,1024,1048576,sharpen_3x3,3,3,cpu_single,1,5.655793,1
checker_1024,1,1024,1024,1048576,sharpen_3x3,3,3,gpu_global,1,0.357883,1
checker_1024,1,1024,1024,1048576,sharpen_3x3,3,3,gpu_tiled,1,0.337955,1
checker_1024,1,1024,1024,1048576,sharpen_3x3,3,3,gpu_constant,1,0.339207,1
checker_1024,1,1024,1024,1048576,sharpen_3x3,3,3,gpu_tiled_constant,1,0.337853,1
checker_1024,1,1024,1024,1048576,sharpen_3x3,3,3,cpu_single,2,5.542451,1
checker_1024,1,1024,1024,1048576,sharpen_3x3,3,3,gpu_global,2,0.341990,1
checker_1024,1,1024,1024,1048576,sharpen_3x3,3,3,gpu_tiled,2,0.341981,1
checker_1024,1,1024,1024,1048576,sharpen_3x3,3,3,gpu_constant,2,0.338414,1
checker_1024,1,1024,1024,1048576,sharpen_3x3,3,3,gpu_tiled_constant,2,0.336864,1
checker_1024,1,1024,1024,1048576,sharpen_3x3,3,3,cpu_single,3,5.518054,1
checker_1024,1,1024,1024,1048576,sharpen_3x3,3,3,gpu_global,3,0.340869,1
checker_1024,1,1024,1024,1048576,sharpen_3x3,3,3,gpu_tiled,3,0.341439,1
checker_1024,1,1024,1024,1048576,sharpen_3x3,3,3,gpu_constant,3,0.337514,1
checker_1024,1,1024,1024,1048576,sharpen_3x3,3,3,gpu_tiled_constant,3,0.336271,1
checker_1024,1,1024,1024,1048576,sharpen_3x3,3,3,cpu_single,4,5.520979,1
checker_1024,1,1024,1024,1048576,sharpen_3x3,3,3,gpu_global,4,0.337934,1
checker_1024,1,1024,1024,1048576,sharpen_3x3,3,3,gpu_tiled,4,0.336773,1
checker_1024,1,1024,1024,1048576,sharpen_3x3,3,3,gpu_constant,4,0.336862,1
checker_1024,1,1024,1024,1048576,sharpen_3x3,3,3,gpu_tiled_constant,4,0.336761,1
checker_1024,1,1024,1024,1048576,sharpen_3x3,3,3,cpu_single,5,5.549493,1
checker_1024,1,1024,1024,1048576,sharpen_3x3,3,3,gpu_global,5,0.343733,1
checker_1024,1,1024,1024,1048576,sharpen_3x3,3,3,gpu_tiled,5,0.337163,1
checker_1024,1,1024,1024,1048576,sharpen_3x3,3,3,gpu_constant,5,0.337203,1
checker_1024,1,1024,1024,1048576,sharpen_3x3,3,3,gpu_tiled_constant,5,0.336402,1
checker_1024,1,1024,1024,1048576,sharpen_3x3,3,3,cpu_single,6,5.549001,1
checker_1024,1,1024,1024,1048576,sharpen_3x3,3,3,gpu_global,6,0.344375,1
checker_1024,1,1024,1024,1048576,sharpen_3x3,3,3,gpu_tiled,6,0.337203,1
checker_1024,1,1024,1024,1048576,sharpen_3x3,3,3,gpu_constant,6,0.337243,1
checker_1024,1,1024,1024,1048576,sharpen_3x3,3,3,gpu_tiled_constant,6,0.336203,1
checker_1024,1,1024,1024,1048576,sharpen_3x3,3,3,cpu_single,7,5.685649,1
checker_1024,1,1024,1024,1048576,sharpen_3x3,3,3,gpu_global,7,0.349131,1
checker_1024,1,1024,1024,1048576,sharpen_3x3,3,3,gpu_tiled,7,0.339296,1
checker_1024,1,1024,1024,1048576,sharpen_3x3,3,3,gpu_constant,7,0.339767,1
checker_1024,1,1024,1024,1048576,sharpen_3x3,3,3,gpu_tiled_constant,7,0.336702,1
